Rk,Player,Age,Team,Pos,GP,G,A,PTS,SOG▼,-9999
860,Dalibor Dvorsky,19,STL,C,2,0,0,0,2,dvorsda01
861,Tye Felhaber,26,COL,F,5,0,0,0,2,felhaty01
862,Nikita Grebenkin,21,TOR,RW,7,0,0,0,2,grebeni01
863,Jani Hakanpää,32,TOR,D,2,0,0,0,2,hakanja01
864,Brian Halonen,26,NJD,F,2,0,0,0,2,halonbr01
865,Hayden Hodgson,28,OTT,RW,2,0,0,0,2,hodgsha01
866,Daemon Hunt,22,MIN,D,1,0,0,0,2,huntda01
867,Kirill Kudryavtsev,20,VAN,D,2,0,0,0,2,kudryki01
868,Jake Lucchini,29,NSH,F,3,0,0,0,2,lucchja01
869,Matthew Robertson,23,NYR,D,2,0,0,0,2,roberma02
870,Dominic Toninato,30,WPG,C,5,0,0,0,2,tonindo01
871,Tim Washe,23,ANA,F,2,0,0,0,2,washeti01
872,Pyotr Kochetkov,25,CAR,G,47,0,3,3,1,kochepy01
873,Alex Nedeljkovic,29,PIT,G,38,1,2,3,1,nedelal01
874,Joey Daccord,28,SEA,G,57,0,2,2,1,daccojo01
875,Michael Sgarbossa,32,WSH,C,3,1,1,2,1,sgarbmi01
876,Mackenzie Blackwood,28,2TM,G,56,0,1,1,1,blackma01
877,Skyler Brind'Amour,25,CAR,C,2,1,0,1,1,brindsk01
878,Dylan Duke,21,TBL,LW,2,1,0,1,1,dukedy01
879,John Farinacci,23,BOS,C,1,1,0,1,1,farinjo01
880,Brad Lambert,21,WPG,C,5,0,1,1,1,lambebr01
881,Sam Morton,,CGY,F,1,1,0,1,1,mortosa01
882,Ville Ottavainen,22,SEA,D,1,0,1,1,1,ottavvi01
